ID,CallerText,Delay,IsTerminal,Outcome,IsAutoProceed,AutoNextID,Choice1Text,C1_NextID,Choice2Text,C2_NextID,Choice3Text,C3_NextID,ScenarioName,TimerDuration,Timeout_NextID
CS_12,อ..โอเครค่ะ ที่บ้านฉันมีห้องน้ำ ห้องนอน และก็ห้องเก็บของค่ะ,5,FALSE,Neutral,FALSE,,ห้องน้ำ,P1_8,ห้องเก็บของ,,ห้องนอน,,แคททาลีน,,
,,,,,,,,,,,,,,,
P1_8,ไปที่ห้องน้ำ,4,FALSE,Neutral,TRUE,CS_13,,,,,,,อีธาน เมย์สัน,,
CS_13,โอเครค่ะ,4,FALSE,Neutral,TRUE,CS_14,,,,,,,,,
CS_14,ค...คุณตำรวจค่ะ มันเริ่มใกล้ขึ้นเรื่อยๆแล้วค่ะ,5,FALSE,Neutral,TRUE,P1_9,,,,,,,,,
P1_9,ใจเย็นๆเอาไว้ครับ ค่อยๆหายใจช้าๆพยายามคุมสติไว้นะครับ เดี้ยวผมจะโทรแจ้งตำรวจภาคสนามมาให้ครับ,6,TRUE,Success,FALSE,,,,,,,,,,
,,,,,,,,,,,,,,,
Radio_05,รายงานสถานการณ์ครับ ตอนนี้มีเหตุบุกรุกสถานที่ ที่ถนนสาย8 ซอยมินเตอร์ บ้านเลขที่125/8 ทราบแล้วเปลี่ยน,6,FALSE,Success,TRUE,Radio_06,,,,,,,,,
Radio_06,รับทราบตอนนี้พวกเรากำลังจะขับรถไปตามสถานที่ดังกล่าว,5,TRUE,Success,FALSE,,,,,,,,,,
,,,,,,,,,,,,,,,
CS_15,คุณตำรวจมันใกล้เข้ามาแล้ว,4,FALSE,Neutral,TRUE,CS_16,,,,,,,,,
CS_16,ม...มันจะพังประตูเข้ามาแล้-,4,FALSE,Neutral,,,,,,,,,,,
